"Gene","Rank"
"IGHV5-51",1
"VCAN",2
"ENSG00000225885",3
"IGHV1-18",4
"TCF4",5
"LINGO2",6
"IGKV3-11",7
"LYZ",8
"LINC01374",9
"LINC02694",10
"PID1",11
"IGKV3-15",12
"IGHV4-34",13
"IGHV1-3",14
"IGKV3-20",15
"IGHV1-46",16
"IGLV2-23",17
"IGHV6-1",18
"LINC02458",19
"SOX5",20
"SLC24A3",21
"IGHV3-7",22
"IGKV1-5",23
"LINC01478",24
"IGHV1-2",25
"ENSG00000227240",26
"IGHV2-26",27
"HDC",28
"S100A9",29
"IGHV1-24",30
"IGKV4-1",31
"IGLV1-40",32
"PTGDS",33
"IGLV3-25",34
"IGLV3-19",35
"IGHV3-74",36
"IGKV1-27",37
"IGLV2-11",38
"IGHV4-39",39
"PLXNA4",40
"IGLV2-14",41
"IGHV3-48",42
"CLC",43
"IGHV3-21",44
"IGHV4-4",45
"IGLV7-46",46
"IGLV3-1",47
"SLC8A1",48
"S100A8",49
"PLXDC2",50
